问题:石器时代的世界的名称是?,答案:尼斯
问题:这个世界钱的单位是?,答案:石头
问题:聊天室中的大厅叫什么名称?,答案:长毛象大厅
问题:愿藏的宠物的名字是?,答案:呼拔吉
问题:近藏的宠物的名字是？,答案:小卡
问题:在萨姆吉尔里大石像的模特儿是谁？,答案:萨姆吉尔
问题:马伦所饲养的宠物的名字是？,答案:加特力奴
问题:石器时代的发售日是？,答案:2000年4月20日
问题:石器时代新手报到包的定价是？,答案:250台币
问题:在画面上可以选择出身地的村庄是玛丽娜丝、萨姆吉尔、加加、还有一个是？,答案:卡鲁它那
问题:通过海底通道需要什么?,答案:通行证
问题:成人的仪式结束之后能得到什么呢？,答案:仪之兜
问题:乌力斯坦的颜色是什么色跟什么色？,答案:黑色跟白色
问题:加工用的道具中，最便宜的是东西是什么石？,答案:石1
问题:在沙姆岛（地上），除了鸟的恐龙之外还有什么恐龙出没？　用恐龙名回答。,答案:布拉奇多斯
问题:全身发红、看起来又软弱，还会过来用大舌头舔人，这恶心的宠物名字是？,答案:贝洛宝利
问题:基本上来说，虽然攻击力上升，但是防御或敏捷会极端下降的武器是？,答案:斧头
问题:长毛象公车的大象名字叫什么？,答案:玛恩摩
问题:一遇到跑过来的长毛象公车、人物会变成怎样？,答案:不会怎样
问题:怎样才能坐长毛象公车呢?,答案:加入团队
问题:等级由1变到2要多少经验值?,答案:２
问题:在医院，要帮宠物回复要花多少石头？,答案:不用钱
问题:在玛丽娜丝的医院帮我们的回复的护士，手上拿着什么?,答案:注射器
问题:只能帮自己回复的咒术是?,答案:治愈的精灵
问题:在达那村的道具店中，下列哪一种东西最昂贵？,答案:黑骨首饰
问题:能帮团队全员回复的咒术是?,答案:恩惠的精灵
问题:玩家人物中头发是黑色的有多少人?,答案:4
问题:在萨伊那斯的桥上阻碍通行的是谁?,答案:坏心眼的愿藏
问题:在卡鲁它那的附近打工抓宠物中LV20以上30未满的宠物是?,答案:多利诺布斯
问题:乌力斯坦最初所拥有的技能是下列哪一个？,答案:攻击
问题:加加的储存点拿什么肉来就会让我们纪录呢？,答案:乌宝宝的肉
问题:长毛象公车在公车站停留多久的时间呢？,答案:3分
问题:柯尔克村宠物店里有的宠物是呼拔拔和贝洛恩和后一个是什么？,答案:小特洛昆
问题:柯尔克的石屋主人是几岁开始作投掷石的呢？,答案:13
问题:石龟属性是？,答案:地９　风１
问题:到卡坦村看医生的患者初诊通常都是患什么病呢？,答案:中暑
问题:恐龙接龙“？？？”里面恐龙的名字是？　“贝鲁伊卡”->“？？？”->“特洛昆”,答案:卡比特
问题:经营长毛象公车的是？,答案:长毛象客运
问题:吃回复气力的料理的时候玩家角色的反应是？,答案:点头
问题:在玛丽娜丝卖的高级玛丽娜丝虾要多少石头？（请用半形数字回答）,答案:150
问题:塔姆塔姆村里的“情报员”是怎样的人？,答案:老伯
问题:玛丽娜丝村庄中和青年在一起的乌力乌力的叫什么名字？,答案:乌力次郎
问题:能跟乌力斯凯说话的道具是？,答案:不可思议的贝壳
问题:在萨姆吉尔村出生的人所拿的原生宠物是什么？,答案:乌力乌力
问题:可以恢复我们魅力的是谁？,答案:美容师
问题:宠物的技巧之中保护玩家的技能叫做什么？,答案:忠犬
问题:这个世上用钱做成的地方是哪里？,答案:吉鲁岛
问题:哥亚山的乌力斯凯是把信交给谁？,答案:乌力美
问题:道具‘仙尼亚的花’的正确说明是哪一个？,答案:在萨姆吉尔花圃上摘的花
问题:在公式比武中规定的50～59的等级是？,答案:贝鲁卡级
问题:加鲁卡巡回全岛活动（JOT）的A路线的第9个的核对点的场所在哪里？,答案:乌鲁力
问题:组成团队最大人数是多少人？,答案:5人
问题:长毛象公车出发时的鸣叫声是？,答案:叭叭叭～～～
问题:查罕三兄弟中最小的弟弟名字是哪一个？,答案:查罕鲁德
问题:在卡鲁它那牧场利用恐龙的什么跟什么可以生成加工素材呢？,答案:皮跟骨
问题:小斧头跟小棍棒，哪一个比较贵呢？,答案:小斧头
问题:乌西摩尼叶的说明中，“解毒的？？？植物”这个“？？？”要放入什么？  ,答案:热带性
问题:玩家角色或是宠物气绝时在头上环绕的星星有几个？,答案:3个
问题:战斗中用弓箭给予伤害（或是接受）之后，打中的箭会变成怎样？,答案:回合结束之前还会存在
问题:玛丽娜丝的村庄的女子提到的鸭子是？,答案:加亚鸭
问题:这个游戏的英文名称是？,答案:STONEAGE
问题:宠物接龙“？？？”里的宠物的名字是？“贝洛恩”→“？？？”→“摩娜西普” ,答案:恩摩摩
问题:日美子和弥生谁在玛丽娜丝？,答案:弥生
问题:“○○○○的近藏”那么○里面应该是？,答案:山贼志愿
问题:玩家互相比试应要叫做什么？,答案:决斗
问题:萨姆吉尔村长家的料理人名字是？,答案:鲍尔
问题:卡坦的储存点是拿什么肉去才会给我们记录呢？,答案:特洛昆
问题:“坏心眼的愿藏”是哪一手拿着武器的呢？,答案:右手
问题:肚子是橘色的鲨鱼系宠物是？,答案:加克拉
问题:凯比特的身体是什么颜色？,答案:黄色
问题:在加鲁卡岛最北边的村庄名称是?,答案:塔姆塔姆
问题:在卡鲁它那的素材店（石头、木）有在卖‘骨的碎片’要多少钱呢？,答案:26STONE
问题:“逃走呼拔拔”猎人名人的名字是？,答案:吉萨拉奇
问题:在卡鲁它那村里的情报员10年前地震的时候是几岁呢？,答案:7岁
问题:加鲁卡岛最南边的村庄的名称是？,答案:奇喀喀
问题:卡鲁它那的长毛象客运的介绍人的名字是？,答案:阿民
问题:摩浦叶是在哪里生长的植物呢？,答案:平原
问题:气力回复40的气力回复药瓶子是什么颜色的呢？,答案:黄色
问题:萨姆吉尔的学校的老师手里拿着什么？,答案:骨头
问题:恐龙博士的助手的名字是？,答案:吉鲁
问题:在柯尔克村的道具店中，下列那一种东西最便宜？,答案:红色大首饰
问题:玩家在石器里无法做的动作是？,答案:睡觉
问题:玩家身上最多可以带多少石头币？,答案:1000000
问题:长毛象客运加加分店的介绍人的名字是？,答案:卡鲁那
问题:卡鲁它那的村子的东77南93有谁在那呢？,答案:钓竿专家
问题:卡鲁它那牧场屋内的宠物全部有几只？,答案:10
问题:在加加的村子的防具屋卖594S的防具名称正确的说出来。,答案:提欧Lv1铠2
问题:盗贼的洞窟地下3楼的人的名字是？,答案:铁壁的小守
问题:阿布的独栋房屋里共有多少坐垫呢？,答案:10枚
问题:阿布的洞窟前的储存点要用布伊和什么宠物的肉才能储存呢？,答案:火鸡
问题:那一个不是霍特尔产的？,答案:萝卜
问题:请回答卡坦的留言板的座标？（例→东0:南0 数字和“:”是半形）,答案:东78:南97
问题:柯尔克的青年买了弓和什么武器之后却在烦恼呢？,答案:回力标
问题:向我们推销茶的村长是哪个村庄的？（写村名即可，例→加加村请输入加加）,答案:柯尔克
问题:柯奥的防具店最高卖价的东西和霍特尔的武器店最高卖价的东西总值是？（限用半形数字回答）,答案:10850
问题:多多的便利武器店所卖商品的总值是？（只限半形数字）,答案:34170
问题:料理“肉粽”的道具说明是以下的哪一个？,答案:包肉的粽子
问题:清澈的鳞是鳞的成分几呢。,答案:鳞的成分4
问题:以下属性没有‘地10’的是哪一个？,答案:绿龟
问题:以下有地属性的宠物是哪一个？,答案:克雷尔
问题:卡比特、凯比、昆伊、凯比特的各别风属性合计值是多少？（请用半形数字输入。）,答案:26
问题:请选出下列名称错误的东西。,答案:绿玉首饰
问题:要做“危险的生鱼片”的材料是下咧哪一个？,答案:卷贝
问题:晒干的海星跟晒干的炭可以做成哪种料理？,答案:海星火焰
问题:要做成渔村风烤贝壳以下哪一个是不需要的？,答案:卡鲁它那产的盐
问题:用多多的美味的水、毛蟹、大王花枝、塔姆塔姆产的胡椒能做出来的料理是？,答案:美食汤
问题:请回答用新鲜的花枝、美丽的盐、品质优良的炭能做出来的材料的说明文是？,答案:拿很新鲜的花枝来烤
问题:用新鲜的花枝、美丽的盐、品质优良的炭能做出来的料理是。,答案:新鲜的烤花枝
问题:请回答料理“独门秘方牛肉炖煮”的说明文是。,答案:炖很久的牛肉炖煮
问题:“苹果酱汁牛排”料理的说明文为以下何者?,答案:都是苹果的牛排
